"# key,value,tags"
"א אַלֶף (   ALEF)","Alef","#definition,#hebrew"
"אָב ( AV)","Av, Month","#definition,#hebrew"
"אָב  אַבָּא ( AV  ABBA )","Father; Dad; Daddy","#definition,#hebrew"
"אַב בֵּית דִּין ( AV BEIT DIN)","President of Court Law","#definition,#hebrew"
"אָבֵדָה ( AVEIDAH)","Loss; Casualty, Military","#definition,#hebrew"
"אָבַד  לֶאֱבוֹד ( AVAD LE EVOD)","Lose; Perish, to","#definition,#hebrew"
"אִבֵּד  לְאַבּוֹד ( IBBEID LE ABBOD)","Destroy, To","#definition,#hebrew"
"אָבְדָן  אַבְדָן ( AVDAN  AVDAN)","Destruction; Ruin; Loss","#definition,#hebrew"
"אֲבוֹי ( AVOY)","Exclamation of dismay","#definition,#hebrew"
"אֲבוֹקָדוֹ ( AVOKADO)","Avocado","#definition,#hebrew"
"אָבוֹת ( AVOT)","Fathers","#definition,#hebrew"
"אָב זָקֵן ( AV ZAKEIN)","Grandfather","#definition,#hebrew"
"אָב חוֹרֵג ( AV CHOREIG)","Stepfather","#definition,#hebrew"
"אָבְחֹם ( AVCHOM)","Calorie","#definition,#hebrew"
"אֲבַטִּחִים ( AVATTICHIM)","Watermelons","#definition,#hebrew"
"אַבְטָחָת רֶשֶׁת ( AVTACHAT RESHET)","Network security","#definition,#hebrew"
"אֲבַטִּיחַ ( AVATTIACH)","Watermelon","#definition,#hebrew"
"אֲבַטִּיחִים צְהֻבִּים ( AVATTICHIM TZEHUBBIM)","Muskmelons","#definition,#hebrew"
"אֲבַטִּיחַ צָהֹב ( AVATTIACH TZAHOV)","Muskmelon","#definition,#hebrew"
"אָבִי ( AVI)","Father, Mine","#definition,#hebrew"
"אָבִיב ( AVIV)","Spring","#definition,#hebrew"
"אֲבִיבִית  לִילָךְ ( AVIVIT LILAKH)","Lilac","#definition,#hebrew"
"אֶבְיוֹן ( EVYON)","Poor; Needy","#definition,#hebrew"
"אֲבִיּוֹנָה ( AVYYONAH)","Pauper F","#definition,#hebrew"
"אָבֵילָה ( AVEILAH)","Mourning","#definition,#hebrew"
"אֲבִימֶלֶךְ ( AVIMELEKH)","Abimelek","#definition,#hebrew"
"אַבִּיר ( ABBIR)","Brave; Strong; Mighty","#definition,#hebrew"
"אֲבָל ( AVAL)","But, However","#definition,#hebrew"
"אָבֵל ( AVEIL)","Mourner","#definition,#hebrew"
"אָבַל  לֶאֱבוֹל ( AVAL LE EVOL)","Grieve, To; Mourn, To","#definition,#hebrew"
"אֶבֶן ( EVEN)","Rock; Stone","#definition,#hebrew"
"אַבְּנֵט ( ABBENEIT)","Belt; Sash; Girdle","#definition,#hebrew"
"אֲבָנים ( AVANYM)","Stones  N N","#definition,#hebrew"
"אֶבֶן יְקָרָה ( EVEN YEKARAH)","Precious Stone","#definition,#hebrew"
"אַבַעְבֻּעת  אַבַעְבּוּעוֹת ( AVABUT  AVABUOT)","Chicken Pox","#definition,#hebrew"
"אָבָק ( AVAK)","Dust","#definition,#hebrew"
"אַבְקָה ( AVKAH)","Powder; Pollen","#definition,#hebrew"
"אִבֵק תְמִיכָה ( IVEIK TEMIKHAH)","Baking Powder","#definition,#hebrew"
"אֵבֶר ( EIVER)","Limb; Member","#definition,#hebrew"
"אַבְרָהָם ( AVRAHAM)","Abraham","#definition,#hebrew"
"אַגָּדָה ( AGGADAH)","Aggadah; Legend; Tale","#definition,#hebrew"
"אֲגֻדָה ( AGUDAH)","Association","#definition,#hebrew"
"אֶגֶד מִידַּבֵּק ( EGED MIDABBEIK)","Band aid","#definition,#hebrew"
"אֵגוֹב ( EIGOV)","Hyssop","#definition,#hebrew"
"אֲגוֹז ( AGOZ)","Nut","#definition,#hebrew"
"אֱגוֹזָה ( EGOZAH)","Nut Tree","#definition,#hebrew"
"אֱגוֹזִים ( EGOZIM)","Nuts","#definition,#hebrew"
"אֱגוֹז לָבָן  קֵריָא ( EGOZ LAVAN KEIRYA )","Hickory","#definition,#hebrew"
"אֱגוֹז מַוֹחַ ( EGOZ MAOACH)","Walnut","#definition,#hebrew"
"אֱגוֹז פֶקַן ( EGOZ FEKAN)","Pecan Nut","#definition,#hebrew"
"אֱגוֹז קוֹקוֹס ( EGOZ KOKOS)","Coconut","#definition,#hebrew"
"אֲגוֹרָה ( AGORAH)","Cent","#definition,#hebrew"
"אֲגוֹרוֹת ( AGOROT)","Cents","#definition,#hebrew"
"אֵגֶל ( EIGEL)","Bull Calf","#definition,#hebrew"
"אֲגַם  אָגָם ( AGAM  AGAM)","Lake","#definition,#hebrew"
"אַגָס ( AGAS)","Pear","#definition,#hebrew"
"אֶגְרוֹן ( EGRON)","Dictionary; Vocabulary","#definition,#hebrew"
"אֶגְרוֹף ( EGROF)","Fist","#definition,#hebrew"
"אֲגַרְטָל ( AGARTAL)","Vase","#definition,#hebrew"
"אָגַר  לֶאֱגוֹר ( AGAR LE EGOR)","Hoard; Gather; Collect, To","#definition,#hebrew"
"אֲדַבֵּר  אֲנִי ( ADABBEIR  ANI)","Will speak, I","#definition,#hebrew"
"אִדָּה  לְאִדּוּת ( IDDAH LE IDDUT)","Steam; Evaporate","#definition,#hebrew"
"אָדוֹן ( ADON)","Sir; Mister","#definition,#hebrew"
"אֲדוֹנִים ( ADONIM)","Gentlemen","#definition,#hebrew"
"אֲדוֹן עוֹלָם ( ADON OLAM)","Creator of the world","#definition,#hebrew"
"אֲדִיבוּת ( ADIVUT)","Politeness","#definition,#hebrew"
"אַדִּיר ( ADDIR)","Mighty; Noble, Rich","#definition,#hebrew"
